knot_id,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
12n_670,0,0,0,0,0,0,-1,2,-4,5,-5,5,-3,3,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-12,15,-16,14,-12,7,-3,1,0,0,0
12n_672,0,0,0,0,-1,1,-1,-1,5,-7,10,-10,9,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_673,0,0,0,0,0,0,-1,1,-2,2,-1,2,0,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,7,-9,11,-13,11,-9,6,-3,1,0,0,0
12n_675,0,0,0,0,0,0,0,0,0,0,-1,2,-4,6,-6,8,-6,5,-4,2,-1,0,0,0,0,0,0,0,0,0
12n_676,0,0,0,0,0,0,0,-1,1,-2,2,0,0,3,-3,3,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0
12n_677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-12,14,-15,13,-10,6,-3,1,0,0,0,0
12n_678,0,0,0,0,0,0,0,0,0,0,0,-1,3,-6,10,-12,14,-12,10,-7,3,-1,0,0,0,0,0,0,0,0
12n_679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-2,3,-5,5,-5,3,-2,1
12n_680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,0,-1,3,-4,4,-5,3,-2,1,0
12n_681,0,0,0,0,0,0,-1,2,-4,5,-5,5,-3,3,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-12,15,-16,14,-12,7,-3,1,0,0,0
12n_683,0,0,-1,3,-7,11,-14,15,-14,12,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_684,0,0,-1,3,-6,9,-12,13,-12,10,-6,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_685,0,0,0,-1,3,-6,9,-12,13,-12,11,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_686,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-7,11,-14,16,-15,13,-9,5,-2,0,0,0,0,0,0,0
12n_687,0,0,0,0,0,-2,5,-9,14,-17,18,-16,13,-8,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-3,5,-7,7,-7,5,-3,1
12n_689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,1,1,-2,2,-3,2,-2,1,0
12n_690,0,0,0,0,0,0,0,-1,1,-1,-1,5,-6,9,-9,8,-6,3,-1,0,0,0,0,0,0,0,0,0,0,0
12n_691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,1,-3,5,-7,7,-7,5,-3,1,0
12n_692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,1,-3,5,-7,7,-7,5,-3,1,0
12n_693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,3,-2,1,2,-3,4,-5,4,-3,1,0,0,0,0
12n_694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-5,6,-7,6,-5,3,-1,0,0
12n_695,0,0,0,0,0,0,0,0,-1,3,-7,11,-13,15,-13,11,-7,3,-1,0,0,0,0,0,0,0,0,0,0,0
12n_696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,3,-2,1,2,-3,4,-5,4,-3,1,0,0,0,0
12n_697,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-4,6,-5,4,-3,1,1,-2,2,-1,0,0,0,0,0,0
12n_698,0,1,-4,8,-13,16,-18,18,-14,10,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_699,0,0,1,-3,4,-6,7,-7,7,-5,4,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_700,0,1,-4,7,-11,14,-15,15,-12,8,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_701,0,0,1,-3,4,-7,9,-9,10,-8,6,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_702,0,0,0,0,0,0,0,1,-5,10,-15,19,-20,20,-15,10,-5,1,0,0,0,0,0,0,0,0,0,0,0,0
12n_703,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-6,9,-11,12,-11,9,-6,3,-1,0,0,0,0,0,0,0
12n_704,0,0,0,0,0,0,-1,3,-5,7,-9,10,-9,8,-5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_705,0,0,0,0,0,0,0,0,0,0,-2,6,-10,15,-17,18,-16,12,-8,4,-1,0,0,0,0,0,0,0,0,0
12n_706,0,0,0,0,0,0,0,0,0,2,-4,6,-8,9,-8,6,-4,2,0,0,0,0,0,0,0,0,0,0,0,0
12n_707,0,0,-1,3,-7,10,-13,15,-13,11,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_708,0,0,0,0,0,0,0,0,0,0,-1,2,-4,7,-7,8,-7,6,-4,2,-1,0,0,0,0,0,0,0,0,0
12n_709,0,0,0,0,0,0,0,0,0,0,-1,3,-5,8,-9,10,-9,7,-5,3,-1,0,0,0,0,0,0,0,0,0
12n_710,0,0,0,0,0,0,0,0,0,0,0,-1,4,-7,12,-15,16,-15,12,-8,4,-1,0,0,0,0,0,0,0,0
12n_711,0,0,0,0,0,0,0,0,-1,4,-8,13,-17,19,-18,15,-10,6,-2,0,0,0,0,0,0,0,0,0,0,0
12n_712,0,0,0,0,0,-1,4,-9,14,-18,20,-19,16,-10,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_713,0,0,0,0,0,0,0,-2,5,-9,13,-14,15,-13,10,-6,3,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_714,0,0,0,0,0,0,0,0,0,0,0,-2,7,-12,18,-21,22,-20,15,-9,4,-1,0,0,0,0,0,0,0,0
12n_715,0,0,0,0,0,0,0,0,-2,5,-8,12,-14,15,-13,10,-6,3,-1,0,0,0,0,0,0,0,0,0,0,0
12n_716,0,0,0,0,0,0,0,0,0,-1,4,-7,10,-12,13,-12,10,-6,3,-1,0,0,0,0,0,0,0,0,0,0
12n_717,0,0,0,-1,3,-6,7,-8,9,-7,6,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_718,0,0,0,0,0,0,0,-1,2,-4,7,-8,9,-8,7,-5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,7,-8,9,-9,7,-5,3,-1,0,0,0,0,0,0
12n_720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,9,-12,16,-17,16,-13,8,-4,1,0,0,0,0,0,0
12n_721,0,0,0,0,0,0,-1,1,-2,3,-3,4,-3,4,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,5,-7,8,-9,8,-7,4,-2,1,0,0,0
12n_723,0,0,0,0,0,0,0,-1,1,-2,3,-2,3,-2,2,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
12n_724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,6,-8,10,-10,8,-7,4,-2,1,0,0,0,0
12n_725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-2,1,-2,1,0,0
12n_726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,7,-8,10,-10,8,-7,4,-2,1,0,0,0,0,0
12n_727,0,0,0,0,0,0,0,0,0,-1,4,-7,11,-14,15,-14,12,-8,4,-1,0,0,0,0,0,0,0,0,0,0
12n_728,0,0,0,0,0,0,0,0,0,0,1,-4,9,-13,17,-18,17,-14,9,-4,1,0,0,0,0,0,0,0,0,0
12n_729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-6,10,-12,13,-12,9,-6,2,0,0,0,0,0,0
12n_730,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-6,8,-8,8,-6,4,-2,0,0,0,0,0,0,0,0
12n_731,0,0,0,0,0,0,-1,5,-10,15,-19,20,-19,16,-10,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
12n_732,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,11,-15,19,-19,17,-13,8,-4,1,0,0,0,0,0,0,0
12n_733,0,0,0,0,0,0,0,0,0,0,0,-1,5,-10,16,-20,22,-21,17,-11,6,-2,0,0,0,0,0,0,0,0
12n_734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,8,-11,14,-14,12,-10,6,-3,1,0,0,0,0
