Name,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Jones (vector),Genus-4D,Genus-4D (Top.),Determinant,Rasmussen s,Ozsvath-Szabo tau,Arf Invariant,Turaev Genus,Clasp Number,L-space,Epsilon,Quasialternating,Almost Alternating,Adequate,Unknotting Number-Algebraic,Ropelength
11a_66,Y,11,2,4,5,3,4,11,2,[-10][-3],13,[9;11],2,{-8; 3; -1; 3; -7; 12; -16; 19; -19; 17; -12; 8; -4; 1},1,1,119,-2,-1,0,0,,No,-1,Y,N,Y,2,96.923431
11a_67,N,11,2,3,4,3,5,12,0,[-8][-5],13,,2,{-7; 4; -1; 3; -7; 12; -16; 20; -20; 18; -14; 9; -4; 1},1,1,125,0,0,1,0,,No,0,Y,N,Y,1,96.71198
11a_68,Y,11,2,4,4,3,4,11,-2,[-4][-9],13,,2,{-4; 7; -1; 3; -6; 10; -13; 16; -16; 15; -11; 7; -4; 1},1,1,103,2,1,0,0,,No,1,Y,N,Y,1,98.341538
11a_69,N,11,1,3,5,3,5,14,0,[-6][-7],13,,2,{-5; 6; -1; 4; -9; 15; -20; 23; -22; 20; -14; 8; -4; 1},1,1,141,0,0,1,0,,No,0,Y,N,Y,1,98.79469
11a_70,N,11,1,3,5,3,5,14,-2,[-3][-10],13,[9;12],2,{-3; 8; 1; -3; 8; -14; 20; -24; 25; -22; 17; -11; 5; -1},1,1,151,2,1,0,0,,No,1,Y,N,Y,1,99.509188
11a_71,Y,11,1,4,5,3,4,11,-2,[-3][-10],13,[9;11],2,{-3; 8; 1; -4; 9; -15; 22; -25; 26; -23; 17; -11; 5; -1},1,1,159,2,1,0,0,,No,1,Y,N,Y,1,99.481428
11a_72,Y,11,2,4,5,3,4,11,0,[-6][-7],13,[9;11],2,{-5; 6; -1; 4; -9; 15; -21; 25; -24; 22; -16; 10; -5; 1},1,1,153,0,0,0,0,,No,0,Y,N,Y,1,99.496937
11a_73,Y,11,1,4,5,3,4,11,0,[-7][-6],13,[9;12],2,{-6; 5; 1; -5; 11; -18; 25; -28; 29; -25; 18; -11; 5; -1},1,1,177,0,0,0,0,,No,0,Y,N,Y,1,100.12689
11a_74,Y,11,2,4,3,3,4,11,-4,[-1][-12],13,[9;12],1,{-2; 9; 1; -2; 5; -7; 9; -11; 11; -10; 8; -5; 3; -1},2,2,73,4,2,0,0,,No,1,Y,N,Y,2,97.220099
11a_75,N,11,2,3,4,2,5,12,-2,[-3][-10],13,,1,{-3; 8; 1; -2; 5; -8; 11; -13; 13; -12; 9; -5; 3; -1},1,1,83,2,1,1,0,,No,1,Y,N,Y,1,98.05683
11a_76,Y,11,2,4,5,3,4,11,0,[-7][-6],13,[9;11],2,{-6; 5; 1; -4; 9; -15; 20; -23; 24; -20; 15; -9; 4; -1},1,1,145,0,0,0,0,,No,0,Y,N,Y,2,99.417498
11a_77,N,11,1,3,5,2,5,12,2,[-11][-2],13,[9;12],1,{-9; 2; 1; -4; 8; -13; 18; -21; 21; -18; 14; -8; 4; -1},1,1,131,-2,-1,1,0,,No,-1,Y,N,Y,1,99.761642
11a_78,N,11,1,3,5,3,5,14,-2,[-3][-10],13,,2,{-3; 8; 1; -3; 7; -12; 17; -19; 20; -18; 13; -8; 4; -1},1,1,123,2,1,1,0,,No,1,Y,N,Y,1,98.750885
