knot_id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
12a_980,2,-11,31,-53,63,-53,31,-11,2,0,0
12a_981,1,-4,10,-17,23,-25,23,-17,10,-4,1
12a_982,2,-9,23,-38,45,-38,23,-9,2,0,0
12a_983,5,-25,52,-65,52,-25,5,0,0,0,0
12a_984,1,-4,9,-13,16,-17,16,-13,9,-4,1
12a_985,2,-9,21,-30,33,-30,21,-9,2,0,0
12a_986,2,-12,34,-59,71,-59,34,-12,2,0,0
12a_987,2,-10,27,-46,55,-46,27,-10,2,0,0
12a_988,2,-8,17,-23,25,-23,17,-8,2,0,0
12a_989,4,-18,40,-51,40,-18,4,0,0,0,0
12a_990,1,-8,26,-48,59,-48,26,-8,1,0,0
12a_991,1,-8,25,-44,53,-44,25,-8,1,0,0
12a_992,1,-9,30,-57,71,-57,30,-9,1,0,0
12a_993,2,-10,24,-38,45,-38,24,-10,2,0,0
12a_994,2,-12,34,-60,71,-60,34,-12,2,0,0
12a_995,8,-28,49,-57,49,-28,8,0,0,0,0
12a_996,14,-48,69,-48,14,0,0,0,0,0,0
12a_997,2,-10,26,-44,51,-44,26,-10,2,0,0
12a_998,2,-11,30,-52,61,-52,30,-11,2,0,0
12a_999,1,-4,11,-21,31,-35,31,-21,11,-4,1
12a_1000,2,-8,19,-30,35,-30,19,-8,2,0,0
12a_1001,4,-19,43,-57,43,-19,4,0,0,0,0
12a_1002,1,-5,13,-23,32,-35,32,-23,13,-5,1
12a_1003,2,-10,28,-48,57,-48,28,-10,2,0,0
12a_1004,8,-30,57,-69,57,-30,8,0,0,0,0
12a_1005,2,-11,29,-49,59,-49,29,-11,2,0,0
12a_1006,2,-10,25,-41,49,-41,25,-10,2,0,0
12a_1007,2,-9,19,-27,29,-27,19,-9,2,0,0
12a_1008,4,-20,45,-59,45,-20,4,0,0,0,0
12a_1009,2,-9,19,-25,27,-25,19,-9,2,0,0
12a_1010,4,-20,45,-57,45,-20,4,0,0,0,0
12a_1011,1,-4,9,-15,20,-23,20,-15,9,-4,1
12a_1012,2,-9,21,-32,35,-32,21,-9,2,0,0
12a_1013,1,-4,9,-15,20,-21,20,-15,9,-4,1
12a_1014,2,-9,21,-34,41,-34,21,-9,2,0,0
12a_1015,2,-8,17,-25,27,-25,17,-8,2,0,0
12a_1016,4,-18,40,-53,40,-18,4,0,0,0,0
12a_1017,2,-8,15,-19,21,-19,15,-8,2,0,0
12a_1018,4,-18,36,-43,36,-18,4,0,0,0,0
12a_1019,1,-10,39,-80,101,-80,39,-10,1,0,0
12a_1020,1,-9,34,-71,89,-71,34,-9,1,0,0
12a_1021,1,-9,35,-76,97,-76,35,-9,1,0,0
12a_1022,3,-21,58,-79,58,-21,3,0,0,0,0
12a_1023,2,-8,16,-24,27,-24,16,-8,2,0,0
12a_1024,4,-17,33,-41,33,-17,4,0,0,0,0
12a_1025,2,-12,31,-52,61,-52,31,-12,2,0,0
12a_1026,3,-17,38,-49,38,-17,3,0,0,0,0
12a_1027,1,-3,6,-10,14,-15,14,-10,6,-3,1
12a_1028,2,-7,14,-21,25,-21,14,-7,2,0,0
12a_1029,2,-6,10,-14,17,-14,10,-6,2,0,0
12a_1030,4,-13,19,-19,19,-13,4,0,0,0,0
12a_1031,2,-7,13,-17,19,-17,13,-7,2,0,0
12a_1032,4,-16,31,-37,31,-16,4,0,0,0,0
12a_1033,4,-14,23,-25,23,-14,4,0,0,0,0
12a_1034,8,-30,45,-30,8,0,0,0,0,0,0
12a_1035,7,-21,32,-35,32,-21,7,0,0,0,0
12a_1036,2,-10,21,-30,33,-30,21,-10,2,0,0
12a_1037,14,-46,65,-46,14,0,0,0,0,0,0
12a_1038,4,-21,45,-57,45,-21,4,0,0,0,0
